index,count,pval,context
Body,254/835,0.00943082701132683,relativeGene
1stExon,32/835,0.0006418448836559947,relativeGene
TSS1500,100/835,0.2544623875692017,relativeGene
3'UTR,17/835,0.95676381636352,relativeGene
TSS200,59/835,0.9801820602820125,relativeGene
5'UTR,63/835,8.025127242244425e-05,relativeGene
Unclassified_Cell_type_specific,91/835,0.9999999999999999,regulatoryFeature
Unclassified,42/835,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,9/835,0.9999986345905469,regulatoryFeature
Promoter_Associated,40/835,1.0,regulatoryFeature
NonGene_Associated_Cell_type_specific,1/835,0.6615445158819917,regulatoryFeature
Gene_Associated_Cell_type_specific,1/835,0.9999397252640516,regulatoryFeature
NonGene_Associated,1/835,0.9986606917038575,regulatoryFeature
N_Shelf,38/835,0.9999757061019993,relativeIsland
N_Shore,125/835,0.9999715836996016,relativeIsland
Island,195/835,1.0,relativeIsland
S_Shelf,42/835,0.9955997115043984,relativeIsland
S_Shore,87/835,0.9999980550677617,relativeIsland
True,112/835,0.18038964706622332,DHS
False,723/835,0.8453551411146775,DHS
True,248/835,2.890359974423736e-09,Enhancer
False,587/835,0.9999999981977651,Enhancer
