index,count,pval,context
Body,248/789,0.0018321784215238968,relativeGene
TSS1500,117/789,0.0011114791485434268,relativeGene
5'UTR,89/789,8.250893005926901e-15,relativeGene
TSS200,56/789,0.9755271303906966,relativeGene
3'UTR,37/789,0.004270488048913587,relativeGene
1stExon,17/789,0.4404776447081237,relativeGene
Unclassified_Cell_type_specific,71/789,1.0,regulatoryFeature
Unclassified,53/789,1.0,regulatoryFeature
Promoter_Associated,53/789,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,14/789,0.9991555204410565,regulatoryFeature
Gene_Associated_Cell_type_specific,3/789,0.9945359956915443,regulatoryFeature
Gene_Associated,2/789,0.9827254729072471,regulatoryFeature
N_Shore,110/789,0.9999986964795249,relativeIsland
Island,93/789,1.0,relativeIsland
S_Shore,88/789,0.9999436591185976,relativeIsland
N_Shelf,35/789,0.9999787880116746,relativeIsland
S_Shelf,30/789,0.9999799193962275,relativeIsland
True,106/789,0.1829609468932677,DHS
False,683/789,0.8437214386385514,DHS
True,295/789,8.692485694956426e-26,Enhancer
False,494/789,1.0,Enhancer
