index,count,pval,context
Body,492/1557,1.0515477580171936e-05,relativeGene
TSS1500,256/1557,3.4929487333881355e-10,relativeGene
TSS200,57/1557,1.0,relativeGene
3'UTR,65/1557,0.0036358169086948204,relativeGene
1stExon,49/1557,0.00231141528440337,relativeGene
5'UTR,125/1557,1.2325534711896555e-09,relativeGene
Promoter_Associated,120/1557,1.0,regulatoryFeature
Unclassified,108/1557,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,21/1557,0.9999999848558763,regulatoryFeature
Gene_Associated_Cell_type_specific,4/1557,0.99998420689282,regulatoryFeature
Unclassified_Cell_type_specific,157/1557,1.0,regulatoryFeature
NonGene_Associated,4/1557,0.9982343534778252,regulatoryFeature
Gene_Associated,5/1557,0.9915968146184247,regulatoryFeature
Island,258/1557,1.0,relativeIsland
N_Shore,248/1557,0.9999960807011524,relativeIsland
S_Shore,176/1557,0.9999999118786543,relativeIsland
N_Shelf,85/1557,0.999966943439092,relativeIsland
S_Shelf,73/1557,0.9999823583100617,relativeIsland
True,187/1557,0.6554448400228853,DHS
False,1370/1557,0.3736216514907284,DHS
True,449/1557,2.943174126235989e-13,Enhancer
False,1108/1557,0.9999999999998082,Enhancer
