index,count,pval,context
Body,460/1432,3.2449736935563944e-06,relativeGene
TSS1500,176/1432,0.10435506639253816,relativeGene
3'UTR,42/1432,0.5255814878135788,relativeGene
TSS200,77/1432,0.999999886299378,relativeGene
5'UTR,87/1432,0.004431733477696639,relativeGene
1stExon,32/1432,0.321551502903077,relativeGene
Unclassified_Cell_type_specific,137/1432,1.0,regulatoryFeature
Promoter_Associated,90/1432,1.0,regulatoryFeature
Unclassified,75/1432,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,13/1432,0.9999999999811545,regulatoryFeature
Gene_Associated_Cell_type_specific,4/1432,0.9999462069288151,regulatoryFeature
NonGene_Associated_Cell_type_specific,1/1432,0.844516924816932,regulatoryFeature
Gene_Associated,1/1432,0.9999821074273849,regulatoryFeature
N_Shore,228/1432,0.9999912301281095,relativeIsland
S_Shelf,64/1432,0.9999928540253837,relativeIsland
Island,246/1432,1.0,relativeIsland
N_Shelf,62/1432,0.9999999925806164,relativeIsland
S_Shore,147/1432,0.9999999997328941,relativeIsland
True,179/1432,0.4286231126552974,DHS
False,1253/1432,0.6025909194469976,DHS
True,464/1432,1.3228564621080403e-23,Enhancer
False,968/1432,1.0,Enhancer
