index,count,pval,context
Body,398/1037,1.8185439709290097e-16,relativeGene
TSS200,39/1037,0.9999999999856726,relativeGene
TSS1500,89/1037,0.9976195255483847,relativeGene
1stExon,28/1037,0.08409253482387276,relativeGene
5'UTR,61/1037,0.02627834804584177,relativeGene
3'UTR,34/1037,0.28119389016044843,relativeGene
Unclassified,44/1037,1.0,regulatoryFeature
Gene_Associated,4/1037,0.9542360019897235,regulatoryFeature
Unclassified_Cell_type_specific,79/1037,1.0,regulatoryFeature
Promoter_Associated,43/1037,1.0,regulatoryFeature
NonGene_Associated_Cell_type_specific,3/1037,0.15191888215756408,regulatoryFeature
Promoter_Associated_Cell_type_specific,9/1037,0.9999999957109897,regulatoryFeature
NonGene_Associated,4/1037,0.9629951097642787,regulatoryFeature
Gene_Associated_Cell_type_specific,3/1037,0.9995021986713385,regulatoryFeature
N_Shelf,64/1037,0.990229381010463,relativeIsland
S_Shelf,49/1037,0.99957764298519,relativeIsland
N_Shore,172/1037,0.999022996285446,relativeIsland
Island,133/1037,1.0,relativeIsland
S_Shore,90/1037,0.9999999999975038,relativeIsland
True,119/1037,0.8080266010046597,DHS
False,918/1037,0.21942390017276975,DHS
True,367/1037,1.9661771014460514e-26,Enhancer
False,670/1037,1.0,Enhancer
