index,count,pval,context
TSS1500,169/1377,0.11286598443240341,relativeGene
Body,442/1377,5.376333183721314e-06,relativeGene
5'UTR,77/1377,0.03868731546721862,relativeGene
TSS200,65/1377,0.9999999994414939,relativeGene
1stExon,33/1377,0.1942611720514737,relativeGene
3'UTR,37/1377,0.7311623350072329,relativeGene
Unclassified_Cell_type_specific,148/1377,1.0,regulatoryFeature
Promoter_Associated,80/1377,1.0,regulatoryFeature
Unclassified,85/1377,1.0,regulatoryFeature
NonGene_Associated,2/1377,0.9997841946119871,regulatoryFeature
Promoter_Associated_Cell_type_specific,13/1377,0.9999999999094068,regulatoryFeature
Gene_Associated_Cell_type_specific,4/1377,0.9999083567259294,regulatoryFeature
Gene_Associated,3/1377,0.9981558500396663,regulatoryFeature
N_Shore,233/1377,0.999395608058207,relativeIsland
S_Shore,157/1377,0.9999992256208424,relativeIsland
N_Shelf,64/1377,0.9999997614176255,relativeIsland
S_Shelf,46/1377,0.9999999997475221,relativeIsland
Island,216/1377,1.0,relativeIsland
True,170/1377,0.4995946509182915,DHS
False,1207/1377,0.5331002151407972,DHS
True,506/1377,1.2486847090761743e-40,Enhancer
False,871/1377,1.0,Enhancer
