index,count,pval,context
Body,759/2051,1.2437947077122654e-24,relativeGene
3'UTR,76/2051,0.025830049072049287,relativeGene
1stExon,78/2051,2.3271683203916972e-07,relativeGene
5'UTR,177/2051,9.946220819791349e-16,relativeGene
TSS200,100/2051,0.999999999999483,relativeGene
TSS1500,313/2051,1.4241589310300982e-08,relativeGene
Unclassified_Cell_type_specific,285/2051,1.0,regulatoryFeature
Promoter_Associated,127/2051,1.0,regulatoryFeature
Unclassified,141/2051,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,36/2051,0.9999997799686666,regulatoryFeature
Gene_Associated_Cell_type_specific,17/2051,0.938318547464325,regulatoryFeature
Gene_Associated,9/2051,0.9727910837856949,regulatoryFeature
NonGene_Associated,5/2051,0.9996742246106864,regulatoryFeature
NonGene_Associated_Cell_type_specific,1/2051,0.9307930168297841,regulatoryFeature
Island,376/2051,1.0,relativeIsland
S_Shelf,124/2051,0.9832169382587667,relativeIsland
N_Shore,330/2051,0.9999995938019746,relativeIsland
N_Shelf,96/2051,0.9999999993560744,relativeIsland
S_Shore,233/2051,0.9999999983256022,relativeIsland
True,311/2051,7.58222574064552e-05,DHS
False,1740/2051,0.999941380149308,DHS
True,545/2051,1.6723816953284161e-09,Enhancer
False,1506/2051,0.9999999987774109,Enhancer
