index,count,pval,context
TSS200,65/1464,0.999999999992049,relativeGene
TSS1500,244/1464,2.4665213083149565e-10,relativeGene
3'UTR,58/1464,0.015244842891994645,relativeGene
Body,475/1464,6.839695772118753e-07,relativeGene
1stExon,54/1464,3.3708150707471225e-05,relativeGene
5'UTR,133/1464,8.528687053570935e-14,relativeGene
Promoter_Associated,116/1464,1.0,regulatoryFeature
Unclassified_Cell_type_specific,199/1464,0.9999999999999989,regulatoryFeature
Unclassified,97/1464,1.0,regulatoryFeature
Gene_Associated_Cell_type_specific,12/1464,0.9137449260908456,regulatoryFeature
Gene_Associated,9/1464,0.7777297734684516,regulatoryFeature
NonGene_Associated,4/1464,0.9968731779622222,regulatoryFeature
Promoter_Associated_Cell_type_specific,25/1464,0.9999946694980039,regulatoryFeature
Island,327/1464,1.0,relativeIsland
S_Shore,173/1464,0.9999962352551854,relativeIsland
N_Shelf,67/1464,0.999999944865553,relativeIsland
N_Shore,257/1464,0.9965989234882678,relativeIsland
S_Shelf,77/1464,0.9989044408510731,relativeIsland
True,217/1464,0.0024429285600265785,DHS
False,1247/1464,0.9980738804868284,DHS
True,407/1464,6.275231743166618e-10,Enhancer
False,1057/1464,0.999999999569312,Enhancer
