index,count,pval,context
Body,96/276,0.0019418408660327377,relativeGene
TSS1500,42/276,0.02534883167325544,relativeGene
TSS200,22/276,0.751531105855197,relativeGene
3'UTR,15/276,0.017535509182437254,relativeGene
5'UTR,16/276,0.19256611766550266,relativeGene
1stExon,2/276,0.9769808242177771,relativeGene
Unclassified_Cell_type_specific,19/276,0.9999999999943283,regulatoryFeature
Promoter_Associated,11/276,1.0,regulatoryFeature
Unclassified,16/276,0.9999999992503441,regulatoryFeature
Promoter_Associated_Cell_type_specific,1/276,0.9999602862881186,regulatoryFeature
Gene_Associated_Cell_type_specific,1/276,0.9594976461532693,regulatoryFeature
S_Shelf,24/276,0.1972545913665294,relativeIsland
N_Shore,26/276,0.9999996920158208,relativeIsland
Island,35/276,1.0,relativeIsland
S_Shore,16/276,0.9999999256869216,relativeIsland
N_Shelf,21/276,0.6330736765674785,relativeIsland
True,19/276,0.9988511997815162,DHS
False,257/276,0.0023090476040135348,DHS
True,79/276,0.0018587922328176655,Enhancer
False,197/276,0.998811375751548,Enhancer
