index,count,pval,context
TSS200,62/1843,1.0,relativeGene
Body,635/1843,1.4737762251016936e-13,relativeGene
3'UTR,59/1843,0.2686174635129353,relativeGene
TSS1500,336/1843,3.614983383407174e-19,relativeGene
5'UTR,165/1843,3.7100310903645097e-16,relativeGene
1stExon,56/1843,0.002535563060574808,relativeGene
Unclassified,132/1843,1.0,regulatoryFeature
Unclassified_Cell_type_specific,227/1843,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,35/1843,0.9999940135995091,regulatoryFeature
Promoter_Associated,159/1843,1.0,regulatoryFeature
NonGene_Associated,3/1843,0.9999455271937355,regulatoryFeature
Gene_Associated_Cell_type_specific,17/1843,0.8534902637846413,regulatoryFeature
Gene_Associated,9/1843,0.9382849147959218,regulatoryFeature
S_Shore,238/1843,0.9998620128705642,relativeIsland
Island,275/1843,1.0,relativeIsland
N_Shelf,77/1843,0.9999999999901781,relativeIsland
N_Shore,305/1843,0.99998387228301,relativeIsland
S_Shelf,91/1843,0.9999715947785075,relativeIsland
True,248/1843,0.07415069432292413,DHS
False,1595/1843,0.9350880009159579,DHS
True,562/1843,1.5815084642082242e-21,Enhancer
False,1281/1843,1.0,Enhancer
