index,count,pval,context
TSS200,5/142,0.9967136868361305,relativeGene
Body,37/142,0.6032346291727251,relativeGene
3'UTR,5/142,0.405061341603538,relativeGene
TSS1500,27/142,0.004220247157935865,relativeGene
5'UTR,8/142,0.318403305996793,relativeGene
Unclassified_Cell_type_specific,22/142,0.9730530579336429,regulatoryFeature
Promoter_Associated,10/142,1.0,regulatoryFeature
Unclassified,5/142,0.9999999717576357,regulatoryFeature
Promoter_Associated_Cell_type_specific,2/142,0.965590418919454,regulatoryFeature
S_Shore,15/142,0.9733356850235491,relativeIsland
S_Shelf,10/142,0.5764895209385186,relativeIsland
N_Shelf,13/142,0.3527704850889936,relativeIsland
N_Shore,18/142,0.9935688215847873,relativeIsland
Island,14/142,1.0,relativeIsland
True,27/142,0.014249259565395087,DHS
False,115/142,0.9921529202072503,DHS
True,51/142,3.4388274883762505e-05,Enhancer
False,91/142,0.999984300632633,Enhancer
