index,count,pval,context
Body,81/237,0.006819425659632458,relativeGene
TSS1500,23/237,0.7960613682881704,relativeGene
TSS200,16/237,0.910586615178252,relativeGene
3'UTR,12/237,0.04894378888580322,relativeGene
1stExon,7/237,0.2109870691427603,relativeGene
5'UTR,17/237,0.043906995786384184,relativeGene
Unclassified_Cell_type_specific,36/237,0.994892913208133,regulatoryFeature
Promoter_Associated,12/237,1.0,regulatoryFeature
Gene_Associated_Cell_type_specific,3/237,0.516110857540977,regulatoryFeature
Unclassified,17/237,0.9999994740436589,regulatoryFeature
Promoter_Associated_Cell_type_specific,2/237,0.9983573664502162,regulatoryFeature
Gene_Associated,4/237,0.10698025155457264,regulatoryFeature
Island,58/237,0.9999999999999923,relativeIsland
S_Shelf,14/237,0.8141492102289462,relativeIsland
N_Shore,22/237,0.9999986744761407,relativeIsland
S_Shore,28/237,0.9687195241599551,relativeIsland
N_Shelf,14/237,0.9119231030159426,relativeIsland
True,28/237,0.6225630029613729,DHS
False,209/237,0.45527747509786115,DHS
True,51/237,0.4602715386785511,Enhancer
False,186/237,0.6018547415461166,Enhancer
