index,count,pval,context
Body,82/258,0.04052955438420339,relativeGene
TSS1500,51/258,4.239536901499516e-05,relativeGene
5'UTR,23/258,0.001776377904232144,relativeGene
TSS200,34/258,0.015853330116009694,relativeGene
1stExon,10/258,0.040216345536396726,relativeGene
3'UTR,6/258,0.7712395068823341,relativeGene
Unclassified_Cell_type_specific,26/258,0.9999996702908882,regulatoryFeature
Promoter_Associated,38/258,1.0,regulatoryFeature
Gene_Associated_Cell_type_specific,3/258,0.5732043284033623,regulatoryFeature
Unclassified,17/258,0.9999999675445922,regulatoryFeature
Promoter_Associated_Cell_type_specific,5/258,0.9570004086564938,regulatoryFeature
N_Shelf,29/258,0.04210926013454336,relativeIsland
S_Shelf,20/258,0.4007441206224645,relativeIsland
N_Shore,34/258,0.9989310394650712,relativeIsland
Island,85/258,0.999999861377432,relativeIsland
S_Shore,38/258,0.7211196167313891,relativeIsland
True,39/258,0.10365881612404755,DHS
False,219/258,0.9250068746466265,DHS
True,22/258,0.9999999852259795,Enhancer
False,236/258,4.360275180550817e-08,Enhancer
