index,count,pval,context
Body,37/117,0.13783503228042884,relativeGene
5'UTR,10/117,0.04090325151739808,relativeGene
3'UTR,3/117,0.6714228439809711,relativeGene
1stExon,2/117,0.6908245604076323,relativeGene
TSS1500,16/117,0.23569005082400607,relativeGene
TSS200,2/117,0.9997937349877722,relativeGene
Gene_Associated_Cell_type_specific,1/117,0.7429779181631869,regulatoryFeature
Unclassified,3/117,0.9999999674032128,regulatoryFeature
NonGene_Associated,1/117,0.6034724668781836,regulatoryFeature
Promoter_Associated,8/117,1.0,regulatoryFeature
Unclassified_Cell_type_specific,4/117,0.999999997420346,regulatoryFeature
Promoter_Associated_Cell_type_specific,1/117,0.9863471815061491,regulatoryFeature
S_Shelf,5/117,0.9299424258181693,relativeIsland
S_Shore,17/117,0.6948946587576466,relativeIsland
N_Shore,30/117,0.09629018101860042,relativeIsland
Island,38/117,0.9998494690602353,relativeIsland
N_Shelf,4/117,0.9868161069434406,relativeIsland
True,6/117,0.9972967919155079,DHS
False,111/117,0.007731239065090991,DHS
True,18/117,0.9523480686809159,Enhancer
False,99/117,0.07735753445246557,Enhancer
