index,count,pval,context
Body,258/824,0.0018980479375734416,relativeGene
TSS1500,96/824,0.3582413580972397,relativeGene
5'UTR,54/824,0.005284257415980683,relativeGene
TSS200,47/824,0.9998181130503319,relativeGene
1stExon,37/824,1.0348793310200483e-05,relativeGene
3'UTR,21/824,0.7739747690724453,relativeGene
Unclassified_Cell_type_specific,82/824,1.0,regulatoryFeature
Unclassified,43/824,1.0,regulatoryFeature
Promoter_Associated,32/824,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,10/824,0.9999934420856265,regulatoryFeature
Gene_Associated_Cell_type_specific,2/824,0.9992689539059871,regulatoryFeature
N_Shore,125/824,0.9999397932279394,relativeIsland
N_Shelf,25/824,0.9999999993106888,relativeIsland
S_Shelf,31/824,0.9999892456678253,relativeIsland
Island,179/824,1.0,relativeIsland
S_Shore,82/824,0.9999997177336812,relativeIsland
True,109/824,0.22693169890374978,DHS
False,715/824,0.8031468283549753,DHS
True,275/824,1.910832202635502e-16,Enhancer
False,549/824,1.0,Enhancer
