index,count,pval,context
TSS1500,15/117,0.3303590905235748,relativeGene
Body,46/117,0.0020326974071489265,relativeGene
5'UTR,6/117,0.4406819410665699,relativeGene
1stExon,5/117,0.09154060806667884,relativeGene
3'UTR,1/117,0.9694649814411171,relativeGene
TSS200,2/117,0.9997937349877722,relativeGene
Unclassified_Cell_type_specific,7/117,0.9999992743189674,regulatoryFeature
Unclassified,4/117,0.9999997152945943,regulatoryFeature
Promoter_Associated,11/117,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,1/117,0.9863471815061491,regulatoryFeature
S_Shelf,6/117,0.8549919249216833,relativeIsland
N_Shore,16/117,0.9758060329605338,relativeIsland
Island,22/117,0.999999999994956,relativeIsland
N_Shelf,4/117,0.9868161069434406,relativeIsland
S_Shore,11/117,0.9849088555158009,relativeIsland
True,15/117,0.47589474161631823,DHS
False,102/117,0.632340673220571,DHS
True,46/117,5.574249712988272e-06,Enhancer
False,71/117,0.9999977988732517,Enhancer
