index,count,pval,context
3'UTR,16/389,0.11373278334933114,relativeGene
Body,197/389,1.0835327999034266e-23,relativeGene
1stExon,10/389,0.2720698319698611,relativeGene
TSS1500,32/389,0.9778527983715233,relativeGene
TSS200,15/389,0.9999733748624651,relativeGene
5'UTR,5/389,0.9999161418987605,relativeGene
Unclassified,30/389,0.99999999769287,regulatoryFeature
Unclassified_Cell_type_specific,69/389,0.9742323727581333,regulatoryFeature
Promoter_Associated,20/389,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,8/389,0.9708967058620781,regulatoryFeature
Gene_Associated_Cell_type_specific,2/389,0.9395814543760814,regulatoryFeature
Gene_Associated,1/389,0.9481941843813617,regulatoryFeature
N_Shore,50/389,0.9999559289547624,relativeIsland
S_Shelf,18/389,0.9853391186069758,relativeIsland
S_Shore,46/389,0.9904258727634053,relativeIsland
Island,113/389,0.9999999999999986,relativeIsland
N_Shelf,9/389,0.999999618769357,relativeIsland
True,58/389,0.0722950900648976,DHS
False,331/389,0.9457522239824118,DHS
True,52/389,0.9999673820191071,Enhancer
False,337/389,5.8210289128424165e-05,Enhancer
