index,count,pval,context
Body,259/746,9.214824275458365e-07,relativeGene
5'UTR,47/746,0.016627340844509474,relativeGene
3'UTR,22/746,0.5222502852781084,relativeGene
TSS200,31/746,0.9999998864994305,relativeGene
TSS1500,84/746,0.4981014607460024,relativeGene
1stExon,15/746,0.554911791234249,relativeGene
Unclassified_Cell_type_specific,70/746,1.0,regulatoryFeature
Promoter_Associated,35/746,1.0,regulatoryFeature
Unclassified,33/746,1.0,regulatoryFeature
Gene_Associated_Cell_type_specific,2/746,0.9983409429088822,regulatoryFeature
Promoter_Associated_Cell_type_specific,8/746,0.9999958141976374,regulatoryFeature
NonGene_Associated,2/746,0.9811418788139107,regulatoryFeature
S_Shelf,37/746,0.9948444059670363,relativeIsland
N_Shore,103/746,0.9999985132251306,relativeIsland
Island,100/746,1.0,relativeIsland
N_Shelf,31/746,0.9999923995629109,relativeIsland
S_Shore,73/746,0.9999995342147432,relativeIsland
True,91/746,0.5561280712660053,DHS
False,655/746,0.48827627059977,DHS
True,251/746,1.291347255066252e-15,Enhancer
False,495/746,0.9999999999999996,Enhancer
