index,count,pval,context
Body,160/452,3.110786724849872e-05,relativeGene
TSS1500,49/452,0.6189457543552204,relativeGene
3'UTR,13/452,0.5691684370095992,relativeGene
1stExon,7/452,0.8140381368649086,relativeGene
5'UTR,34/452,0.0032112201789246337,relativeGene
TSS200,17/452,0.9999953956607778,relativeGene
Promoter_Associated,21/452,1.0,regulatoryFeature
Unclassified,26/452,0.9999999999999947,regulatoryFeature
Unclassified_Cell_type_specific,26/452,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,3/452,0.999990101960615,regulatoryFeature
Gene_Associated_Cell_type_specific,2/452,0.9671099199643401,regulatoryFeature
Gene_Associated,1/452,0.9679454990012176,regulatoryFeature
Island,65/452,1.0,relativeIsland
N_Shore,52/452,0.999999759608604,relativeIsland
S_Shore,35/452,0.9999999213206736,relativeIsland
S_Shelf,23/452,0.9716944279139985,relativeIsland
N_Shelf,32/452,0.7944286780899961,relativeIsland
True,48/452,0.880666029415509,DHS
False,404/452,0.15174183109322936,DHS
True,193/452,3.962451364650473e-25,Enhancer
False,259/452,1.0,Enhancer
