index,count,pval,context
TSS1500,107/869,0.1626093589765102,relativeGene
Body,310/869,4.263899054329028e-09,relativeGene
TSS200,42/869,0.9999987942501395,relativeGene
5'UTR,57/869,0.004196541218639822,relativeGene
1stExon,36/869,7.005188751205975e-05,relativeGene
3'UTR,20/869,0.8907456959741946,relativeGene
Unclassified_Cell_type_specific,78/869,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,15/869,0.9996433794364056,regulatoryFeature
Promoter_Associated,50/869,1.0,regulatoryFeature
Unclassified,45/869,1.0,regulatoryFeature
NonGene_Associated,5/869,0.8138006618292019,regulatoryFeature
Gene_Associated_Cell_type_specific,4/869,0.9903098221613383,regulatoryFeature
Gene_Associated,2/869,0.9898040166682324,regulatoryFeature
NonGene_Associated_Cell_type_specific,2/869,0.30988448764563803,regulatoryFeature
N_Shore,194/869,0.07730266803607762,relativeIsland
N_Shelf,37/869,0.9999969781436487,relativeIsland
S_Shelf,33/869,0.9999918707350727,relativeIsland
Island,166/869,1.0,relativeIsland
S_Shore,88/869,0.9999996743051875,relativeIsland
True,128/869,0.019090421410262296,DHS
False,741/869,0.9850369494753102,DHS
True,265/869,4.8657596412868047e-11,Enhancer
False,604/869,0.9999999999707448,Enhancer
