index,count,pval,context
Body,192/638,0.03128697312853857,relativeGene
1stExon,25/638,0.0017441368697335385,relativeGene
5'UTR,56/638,2.9696852031874725e-06,relativeGene
TSS200,43/638,0.9831545172065824,relativeGene
TSS1500,83/638,0.08532017908011413,relativeGene
3'UTR,9/638,0.995912698328092,relativeGene
Unclassified_Cell_type_specific,73/638,0.9999999999928489,regulatoryFeature
Unclassified,32/638,1.0,regulatoryFeature
Promoter_Associated,31/638,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,5/638,0.9999989464147694,regulatoryFeature
NonGene_Associated_Cell_type_specific,1/638,0.5627655314391753,regulatoryFeature
NonGene_Associated,1/638,0.993602491465202,regulatoryFeature
S_Shelf,27/638,0.9993149860192505,relativeIsland
Island,155/638,1.0,relativeIsland
N_Shore,106/638,0.9923495299932752,relativeIsland
S_Shore,85/638,0.9690065038443569,relativeIsland
N_Shelf,28/638,0.999910104144077,relativeIsland
True,93/638,0.049227870398910065,DHS
False,545/638,0.9614063852715384,DHS
True,174/638,0.00011785391847020734,Enhancer
False,464/638,0.9999179490961875,Enhancer
