index,count,pval,context
Body,44/119,0.009167146774735926,relativeGene
5'UTR,15/119,0.00034078303499850105,relativeGene
TSS1500,14/119,0.465710723981581,relativeGene
3'UTR,4/119,0.4640219743412233,relativeGene
TSS200,5/119,0.9850314387868054,relativeGene
1stExon,2/119,0.6996946296948872,relativeGene
Gene_Associated_Cell_type_specific,1/119,0.7488802266430377,regulatoryFeature
Unclassified,7/119,0.999969410792928,regulatoryFeature
Unclassified_Cell_type_specific,6/119,0.9999999093932088,regulatoryFeature
NonGene_Associated,1/119,0.6096952714256656,regulatoryFeature
Promoter_Associated,12/119,1.0,regulatoryFeature
Promoter_Associated_Cell_type_specific,1/119,0.9873137165545197,regulatoryFeature
S_Shelf,8/119,0.6316616201000465,relativeIsland
S_Shore,17/119,0.7216436551443361,relativeIsland
Island,33/119,0.9999988715688944,relativeIsland
N_Shelf,3/119,0.9969340534599564,relativeIsland
N_Shore,21/119,0.7969893455001367,relativeIsland
True,4/119,0.9998528900962158,DHS
False,115/119,0.0006442377359015886,DHS
True,34/119,0.03263781482269984,Enhancer
False,85/119,0.9799385927006253,Enhancer
